"OrphaCode","Name","DisorderGroup","gene_count","onset_count","inheritance_count","avg_prevalence"
314,Erythroderma desquamativum,Disorder,0,1,1,3.0
315,Erythrokeratoderma ''en cocardes'',Disorder,0,1,1,0.0
316,Progressive symmetric erythrokeratodermia,Disorder,4,1,1,0.0
317,Erythrokeratodermia variabilis,Disorder,4,1,1,100.0
318,Acute erythroid leukemia,Disorder,0,1,1,0.0
319,Skeletal Ewing sarcoma,Disorder,5,1,1,0.8200000000000001
320,Apparent mineralocorticoid excess,Disorder,1,1,1,0.0
321,Multiple osteochondromas,Disorder,2,1,1,21.45
322,Exstrophy-epispadias complex,Disorder,0,1,1,0.0
323,NON RARE IN EUROPE: FG syndrome phenotypic spectrum,Disorder,0,0,0,
324,Fabry disease,Disorder,1,1,1,1.4648181818181818
325,Congenital factor II deficiency,Disorder,1,1,1,0.05
326,Congenital factor V deficiency,Disorder,1,1,1,0.1
327,Congenital factor VII deficiency,Disorder,1,1,1,0.33
328,Congenital factor X deficiency,Disorder,1,1,1,0.0
329,Congenital factor XI deficiency,Disorder,1,1,1,0.1
330,Congenital factor XII deficiency,Disorder,1,1,1,0.0
331,Congenital factor XIII deficiency,Disorder,2,1,1,0.045
332,Congenital intrinsic factor deficiency,Disorder,1,1,1,50.0
333,Farber disease,Disorder,1,1,1,48.0
334,Hereditary atrial fibrillation,Disorder,24,1,1,
335,Congenital fibrinogen deficiency,Disorder,0,1,1,0.15
336,NON RARE IN EUROPE: Fibromuscular dysplasia of arteries,Disorder,0,0,0,
337,Fibrodysplasia ossificans progressiva,Disorder,1,1,1,0.07614285714285715
338,Familial multiple fibrofolliculoma,Disorder,0,0,0,
340,Hemorrhagic fever-renal syndrome,Disorder,0,1,1,4.054
341,Viral hemorrhagic fever,Group of disorders,0,1,1,0.0
342,Familial Mediterranean fever,Disorder,1,1,1,65.28833333333334
343,Hyperimmunoglobulinemia D with periodic fever,Subtype of disorder,1,1,1,100.0
344,OBSOLETE: Arbovirus fever,Group of disorders,0,0,0,
345,Dissecting cellulitis of the scalp,Disorder,0,1,1,0.0
346,Quinquaud folliculitis decalvans,Disorder,0,1,1,0.0
347,Frasier syndrome,Disorder,1,1,1,75.0
348,"Fructose-1,6-bisphosphatase deficiency",Disorder,1,1,1,0.335
349,Fucosidosis,Disorder,1,1,1,40.4475
351,Galactosialidosis,Disorder,1,1,1,33.38
352,Galactosemia,Group of disorders,0,1,1,1.35
353,Gamma-sarcoglycan-related limb-girdle muscular dystrophy R5,Disorder,1,1,1,0.17
354,GM1 gangliosidosis,Disorder,0,1,1,6.798
355,Gaucher disease,Disorder,0,1,1,1.958375
356,Gerstmann-Straussler-Scheinker syndrome,Disorder,1,1,1,0.00275
357,NON RARE IN EUROPE: Gilbert syndrome,Disorder,0,0,0,
358,Gitelman syndrome,Disorder,2,1,1,2.5
359,Pediatric-onset glaucoma of genetic origin,Group of disorders,0,1,1,0.0
360,Glioblastoma,Disorder,0,1,1,2.9457142857142857
361,Familial glucocorticoid deficiency,Disorder,5,1,1,0.24765
